group,subject_number,block,task,central_task_accuracy,central_task_signal,central_task_decision,central_task_confidence,peripheral_task_accuracy,peripheral_task_signal,peripheral_task_decision,peripheral_task_confidence,central_frames,peripheral_frames,gabor_alpha_contrast,peripheral_task_reaction_time
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.043509718,0.499596177
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.041369935,1.666341947
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.039261617,2.999640543
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.037184323,0.549586001
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.035137607,2.316053343
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,3,18,23,0.033121019,1.533172182
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-2,18,23,0.040724764,2.165981169
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.038738725,1.266318008
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.036781364,0.682952864
control,1,-18,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.034852241,2.532918447
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.03292576,2.349897053
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,4,18,23,0.031024228,1.266088439
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.038212937,1.082831812
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,0,-1,1,3,18,23,0.036360598,2.399476446
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.043594472,1.049198792
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,2,18,23,0.041762157,2.832836626
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.039955278,1.532729657
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.038173426,0.682614929
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.036416193,1.082716272
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,3,18,23,0.034683176,2.266520392
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,1,1,1,4,18,23,0.032951477,1.366153043
control,1,-17,training_full_attention_contrast_threshold,.,.,.,.,1,-1,-1,-4,18,23,0.031241265,1.082464803
control,1,-16,training_central_SOA,0,1,-1,-1,.,.,.,.,18,23,0.029552246,.
control,1,-16,training_central_SOA,1,1,1,4,.,.,.,.,28,23,0.029552246,.
control,1,-16,training_central_SOA,1,1,1,4,.,.,.,.,26,23,0.029552246,.
control,1,-16,training_central_SOA,1,1,1,4,.,.,.,.,24,23,0.029552246,.
control,1,-16,training_central_SOA,0,-1,1,4,.,.,.,.,22,23,0.029552246,.
control,1,-16,training_central_SOA,1,1,1,4,.,.,.,.,27,23,0.029552246,.
control,1,-16,training_central_SOA,1,1,1,4,.,.,.,.,26,23,0.029552246,.
control,1,-16,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-16,training_central_SOA,1,-1,-1,-4,.,.,.,.,24,23,0.029552246,.
control,1,-16,training_central_SOA,1,-1,-1,-3,.,.,.,.,23,23,0.029552246,.
